"match_id","home_team_id","away_team_id","home_team_rating","away_team_rating"
829746,31,184,7.0521,6.5893
829747,24,31,6.9336,6.3777
829748,16,24,6.3485,7.5207
829749,171,15,6.5221,7.1707
829750,29,16,6.9371,6.6657
829751,18,24,7.4307,6.0886
829752,29,15,6.6969,7.2407
829753,162,32,6.4229,7.005
829754,214,26,7.0629,6.8157
829755,15,162,7.1386,6.6393
829756,259,26,6.6743,7.1977
829757,18,214,7.1929,6.5029
829758,13,26,7.4521,6.375
829759,16,14,7.0457,7.0308
829760,26,184,7.2764,6.5221
829761,31,16,6.3871,7.2121
829762,14,259,7.4743,6.4607
829763,214,13,6.3236,7.3008
829764,175,96,7.0607,6.5393
829765,16,162,6.4985,7.3986
829766,184,30,7.015,6.9664
829767,259,167,6.755,7.3507
829768,167,14,7.3864,6.6271
829769,214,184,6.5307,7.1992
829770,167,29,7.01,6.3292
829771,14,23,7.655,6.2621
829772,24,259,6.5871,7.0614
829773,259,31,6.7931,6.6336
829774,15,96,6.795,6.5564
829775,30,214,7.2129,6.4462
829776,23,32,6.7364,7.1129
829777,14,18,7.3014,6.4277
829778,23,30,6.715,7.0264
829779,26,171,7.0264,6.5792
829780,214,15,6.6314,6.9071
829781,30,24,6.5914,7.0964
829782,162,167,6.8693,6.7457
829783,175,15,7.2229,6.1836
829784,96,31,7.3614,6.2721
829785,167,171,7.8743,5.8993
829786,96,18,6.8186,6.4671
829787,32,175,6.6692,6.9843
829788,26,32,6.5046,7.0293
829789,175,14,6.5536,7.08
829790,31,18,7.0662,6.6679
829791,29,31,6.6408,7.1485
829792,30,259,7.0871,6.9162
829793,23,175,6.8829,7.0093
829794,13,15,6.9031,6.9236
829795,16,18,6.8207,6.4243
829796,167,175,7.6757,6.3854
829797,29,96,6.66,6.7107
829798,14,29,7.0729,6.9671
829799,13,175,7.3029,6.6107
829800,13,29,7.4979,6.5762
829801,96,30,7.2257,6.2954
829802,184,14,6.8336,7.0957
829803,259,96,7.2593,6.4093
829804,23,13,6.78,7.395
829805,13,16,7.2015,7.0914
829806,32,24,7.22,6.5343
829807,24,184,6.6746,7.0057
829808,184,167,7.1785,6.8879
829809,184,96,6.7171,7.0386
829810,162,214,6.5364,7.315
829811,30,167,6.7786,7.2121
829812,171,31,6.7686,7.1392
829813,24,171,6.7829,7.0586
829814,16,23,7.435,6.7085
829815,15,16,7.2207,6.755
829816,15,18,6.8607,7.1957
829817,26,162,6.5964,7.0621
829818,31,32,7.4264,6.3293
829819,29,184,6.9915,6.7157
829820,18,184,7.2169,6.3986
829821,15,32,7.0179,6.7371
829822,259,214,6.9657,6.2407
829823,162,259,7.0536,6.6514
829824,162,171,7.1757,6.5214
829825,32,13,7.0514,6.6593
829826,167,24,6.685,6.5415
829827,13,259,6.7638,7.3164
829828,96,162,6.6483,6.8214
829829,175,171,6.4071,7.2579
829830,31,30,6.4314,7.1171
829831,31,23,7.72,6.1379
829832,23,259,6.7257,7.0293
829833,184,13,6.8442,7.4185
829834,214,32,6.7057,6.8857
829835,14,214,7.0893,6.8329
829836,171,29,6.9169,7.1467
829837,26,23,7.3338,6.415
829838,14,171,7.6164,6.1946
829839,18,30,6.7143,6.7829
829840,167,18,7.3379,6.6285
